sentence,word,string,Layer,num_tokens_original,num_tokens_unique,prop_original_tokens,mean_dist,centered_isotropy,intra_sentence_similarity,n_params,mpath,language,multilingual
It was a desperate act.,act,act,0,8,8,1.0,0.9144759268885848,1.141031876206398,0.44605395,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,1,8,8,1.0,0.931458518999003,1.1415960639715195,0.4271022,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,2,8,8,1.0,0.9224303623456661,1.1411764919757843,0.4359015,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,3,8,8,1.0,0.9135380472379074,1.139524295926094,0.4447767,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,4,8,8,1.0,0.905496040023551,1.1388744115829468,0.45264965,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,5,8,8,1.0,0.9006731253740821,1.1383009403944016,0.45731565,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,6,8,8,1.0,0.8891764577768726,1.137740895152092,0.46837687,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,7,8,8,1.0,0.8791730907848472,1.13767571747303,0.47749537,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,8,8,8,1.0,0.8737645541249065,1.1376135796308517,0.4821721,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,9,8,8,1.0,0.8647763408443783,1.1367130428552628,0.49021995,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,10,8,8,1.0,0.844343898431412,1.1368614584207535,0.50736606,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,11,8,8,1.0,0.8306795363360757,1.1408397257328033,0.516765,11683584,albert/albert-base-v2,english,No
It was a desperate act.,act,act,12,8,8,1.0,0.7901736877935487,1.1408813744783401,0.5519272,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,0,9,9,1.0,0.901533601453962,1.1233859434723854,0.44483915,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,1,9,9,1.0,0.9382915082712167,1.1238463446497917,0.40480042,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,2,9,9,1.0,0.9402467635756023,1.1220730245113373,0.4019307,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,3,9,9,1.0,0.9342097450130689,1.119765728712082,0.40816784,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,4,9,9,1.0,0.9313769898960825,1.1190352141857147,0.41124836,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,5,9,9,1.0,0.9270863474506706,1.117395557463169,0.41563797,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,6,9,9,1.0,0.9104621737460223,1.1186842620372772,0.43360293,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,7,9,9,1.0,0.8825454872873858,1.1188029199838638,0.46204695,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,8,9,9,1.0,0.8568125128390318,1.1191943362355232,0.4864857,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,9,9,9,1.0,0.8322475213847327,1.1178838685154915,0.5081833,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,10,9,9,1.0,0.8089919127491558,1.1180333271622658,0.5272491,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,11,9,9,1.0,0.8091329375635764,1.1229245960712433,0.52512264,11683584,albert/albert-base-v2,english,No
It was a humane act.,act,act,12,9,9,1.0,0.7792651572810354,1.123496375977993,0.551378,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,0,8,8,1.0,0.904536037527512,1.1407327055931091,0.45565748,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,1,8,8,1.0,0.927890134475499,1.1412571370601654,0.4309067,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,2,8,8,1.0,0.9219087859857067,1.1409891098737717,0.4367016,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,3,8,8,1.0,0.9093853815503836,1.1390881389379501,0.44945884,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,4,8,8,1.0,0.902268720238785,1.1381236761808395,0.45643622,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,5,8,8,1.0,0.8983469750571357,1.1380149722099304,0.4600432,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,6,8,8,1.0,0.893395056476012,1.1382658034563065,0.4645415,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,7,8,8,1.0,0.8812329986234079,1.1375158876180649,0.4759756,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,8,8,8,1.0,0.8712417273768043,1.136659488081932,0.48501965,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,9,8,8,1.0,0.8622826724680105,1.1359809786081314,0.49284762,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,10,8,8,1.0,0.8442713112984089,1.136475920677185,0.50781655,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,11,8,8,1.0,0.8272543303051425,1.1408772021532059,0.5199728,11683584,albert/albert-base-v2,english,No
It was a magic act.,act,act,12,8,8,1.0,0.7870932790824746,1.140973761677742,0.55439734,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,0,8,8,1.0,0.9180914881235349,1.141161024570465,0.44255942,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,1,8,8,1.0,0.9337752481367227,1.1414878517389297,0.42486906,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,2,8,8,1.0,0.921012412286313,1.140800803899765,0.43783677,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,3,8,8,1.0,0.9168580630408838,1.140030637383461,0.44154674,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,4,8,8,1.0,0.9078476274354107,1.1381241381168365,0.45010072,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,5,8,8,1.0,0.9056998139319266,1.1372966319322586,0.4522609,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,6,8,8,1.0,0.8994535710440733,1.1376005858182907,0.45881787,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,7,8,8,1.0,0.8835269631752857,1.1368517130613327,0.47387138,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,8,8,8,1.0,0.8706746666706152,1.1360976845026016,0.4855379,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,9,8,8,1.0,0.8558734747168889,1.1342190653085709,0.4987223,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,10,8,8,1.0,0.8349405570305543,1.1340736150741577,0.51604235,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,11,8,8,1.0,0.8239451169654751,1.1405936628580093,0.5229194,11683584,albert/albert-base-v2,english,No
He had a universal appeal.,appeal,appeal,12,8,8,1.0,0.781275475374595,1.1401012390851974,0.5588902,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,0,11,11,1.0,0.9185298817380798,1.099263146519661,0.40558222,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,1,11,11,1.0,0.9366067760997486,1.097268469631672,0.38152903,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,2,11,11,1.0,0.9307005921880209,1.0948803648352623,0.38784954,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,3,11,11,1.0,0.9184583202750125,1.0960797145962715,0.40320987,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,4,11,11,1.0,0.9027548798721869,1.092978522181511,0.41989514,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,5,11,11,1.0,0.8958091744332903,1.0924561843276024,0.42730305,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,6,11,11,1.0,0.8848762007008643,1.0934643149375916,0.4391674,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,7,11,11,1.0,0.8701112064912679,1.0933231711387634,0.4542288,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,8,11,11,1.0,0.8441126154786122,1.0954195782542229,0.47985736,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,9,11,11,1.0,0.8218811735729074,1.0965872332453728,0.50089914,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,10,11,11,1.0,0.7881845730744756,1.096586175262928,0.53005767,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,11,11,11,1.0,0.789194884684117,1.0983834713697433,0.5277717,11683584,albert/albert-base-v2,english,No
He had an undefinable appeal.,appeal,appeal,12,11,11,1.0,0.7438739642295595,1.098470352590084,0.5666705,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,0,8,8,1.0,0.9099642097116113,1.1410249769687653,0.45051473,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,1,8,8,1.0,0.927425223237537,1.1416271775960922,0.4312239,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,2,8,8,1.0,0.9183180506614609,1.1410499960184097,0.44057828,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,3,8,8,1.0,0.916444959163995,1.139847755432129,0.4423376,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,4,8,8,1.0,0.9049173737031914,1.1386287361383438,0.45386615,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,5,8,8,1.0,0.8925708692594475,1.138114795088768,0.4655113,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,6,8,8,1.0,0.8851347292969358,1.1382150202989578,0.47228336,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,7,8,8,1.0,0.883697851918148,1.1383459120988846,0.4735847,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,8,8,8,1.0,0.8775233003011716,1.1383967846632004,0.47921327,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,9,8,8,1.0,0.8675726512530565,1.1377050429582596,0.48804307,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,10,8,8,1.0,0.8505197697972137,1.138427510857582,0.5023987,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,11,8,8,1.0,0.83475002641571,1.141453355550766,0.5135932,11683584,albert/albert-base-v2,english,No
He had a legal appeal.,appeal,appeal,12,8,8,1.0,0.7985870127504745,1.1403391659259796,0.54519856,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,0,8,8,1.0,0.9050627352839393,1.1408388167619705,0.45517746,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,1,8,8,1.0,0.9174493069429577,1.1410001069307327,0.44141716,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,2,8,8,1.0,0.9002545459530469,1.1400904208421707,0.45803022,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,3,8,8,1.0,0.886246298405326,1.1378046423196793,0.47139043,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,4,8,8,1.0,0.8789744928652956,1.1362433582544327,0.4782443,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,5,8,8,1.0,0.8813398897746682,1.1365950405597687,0.47589564,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,6,8,8,1.0,0.8753747995859226,1.1364429146051407,0.48122084,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,7,8,8,1.0,0.870903886531815,1.1361323148012161,0.48517907,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,8,8,8,1.0,0.8628196320208126,1.1350780576467514,0.49240428,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,9,8,8,1.0,0.8524681599009339,1.1340032368898392,0.5012248,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,10,8,8,1.0,0.8310511326712021,1.1340356320142746,0.51885045,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,11,8,8,1.0,0.818385767166728,1.139387458562851,0.52737343,11683584,albert/albert-base-v2,english,No
It was a tense atmosphere.,atmosphere,atmosphere,12,8,8,1.0,0.7805870526894717,1.1399380415678024,0.55943674,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,0,8,8,1.0,0.9151695003151513,1.1408358961343765,0.44537035,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,1,8,8,1.0,0.9192828679860757,1.1407707929611206,0.43971598,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,2,8,8,1.0,0.9024639558763481,1.1397889852523804,0.45614725,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,3,8,8,1.0,0.8936778553257876,1.137820452451706,0.4646696,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,4,8,8,1.0,0.887475953436297,1.1366665065288544,0.47042727,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,5,8,8,1.0,0.8852868744444677,1.1365326195955276,0.47236437,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,6,8,8,1.0,0.8763515963964517,1.1364393383264542,0.4803918,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,7,8,8,1.0,0.867258610236106,1.135303109884262,0.4887395,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,8,8,8,1.0,0.8583950802358338,1.1340357512235641,0.49655026,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,9,8,8,1.0,0.847032833944018,1.133027896285057,0.50614876,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,10,8,8,1.0,0.8259877383855451,1.1333806067705154,0.5231497,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,11,8,8,1.0,0.8144660943809393,1.1394214183092117,0.5306424,11683584,albert/albert-base-v2,english,No
It was a hostile atmosphere.,atmosphere,atmosphere,12,8,8,1.0,0.7785119094606341,1.1398554146289825,0.56100965,11683584,albert/albert-base-v2,english,No
It was a gaseous atmosphere.,atmosphere,atmosphere,0,10,10,1.0,0.8965001170833407,1.109668955206871,0.43878737,11683584,albert/albert-base-v2,english,No
It was a gaseous atmosphere.,atmosphere,atmosphere,1,10,10,1.0,0.9196840944709932,1.1092608273029327,0.4125874,11683584,albert/albert-base-v2,english,No
It was a gaseous atmosphere.,atmosphere,atmosphere,2,10,10,1.0,0.9087008038190563,1.1058885678648949,0.42291045,11683584,albert/albert-base-v2,english,No
It was a gaseous atmosphere.,atmosphere,atmosphere,3,10,10,1.0,0.9089944992642545,1.1012259796261787,0.42154303,11683584,albert/albert-base-v2,english,No
It was a gaseous atmosphere.,atmosphere,atmosphere,4,10,10,1.0,0.9062975538035052,1.1003644913434982,0.42465034,11683584,albert/albert-base-v2,english,No
It was a gaseous atmosphere.,atmosphere,atmosphere,5,10,10,1.0,0.8928928873005008,1.1026432812213898,0.4401877,11683584,albert/albert-base-v2,english,No
It was a gaseous atmosphere.,atmosphere,atmosphere,6,10,10,1.0,0.8793963459101638,1.1018014177680016,0.45340142,11683584,albert/albert-base-v2,english,No
