sentence,word,string,Layer,num_tokens_original,num_tokens_unique,prop_original_tokens,mean_dist,centered_isotropy,intra_sentence_similarity,n_params,mpath,language,multilingual
Compró el aceite de oliva.,aceite,aceite,0,9,9,1.0,0.8746206404161838,1.116405874490738,0.4672451,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,1,9,9,1.0,0.7244921651854835,1.114950269460678,0.5942745,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,2,9,9,1.0,0.6520408712676021,1.112538605928421,0.646807,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,3,9,9,1.0,0.6571733928181953,1.1153184548020363,0.6426711,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,4,9,9,1.0,0.5932856356682975,1.118381179869175,0.6865136,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,5,9,9,1.0,0.5248583654903418,1.115689069032669,0.7292445,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,6,9,9,1.0,0.4681995608136533,1.1182637885212898,0.76351655,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,7,9,9,1.0,0.46778809048174824,1.121347799897194,0.76401734,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,8,9,9,1.0,0.5136457969340303,1.1209721192717552,0.73645747,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,9,9,9,1.0,0.45235372194390916,1.1183493435382843,0.7728218,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,10,9,9,1.0,0.369951490552288,1.1151771172881126,0.81769615,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,11,9,9,1.0,0.3092360585234742,1.1088248565793037,0.8477304,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de oliva.,aceite,aceite,12,9,9,1.0,0.28981111261239034,1.10277459025383,0.8613647,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,0,9,9,1.0,0.8778945551373414,1.1165330782532692,0.46457216,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,1,9,9,1.0,0.7245803009895461,1.1149166971445084,0.59438324,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,2,9,9,1.0,0.6446778763186525,1.11384829133749,0.65211827,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,3,9,9,1.0,0.6556690383008132,1.1165887489914894,0.6442691,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,4,9,9,1.0,0.5953581594096352,1.1195322647690773,0.68546325,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,5,9,9,1.0,0.5207442643524502,1.1179556995630264,0.7321789,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,6,9,9,1.0,0.4651861440192393,1.1199655830860138,0.76549244,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,7,9,9,1.0,0.457774980530255,1.1224345266819,0.7699313,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,8,9,9,1.0,0.5115190367672209,1.1212149187922478,0.7377393,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
Compró el aceite de carro.,aceite,aceite,9,9,9,1.0,0.4538411690867814,1.118225559592247,0.77194923,109850880,dccuchile/bert-base-spanish-wwm-cased,spanish,No
